emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
🇦🇸,flag: American Samoa,flag,flag: American Samoa | flag,country flag,Flags,country-flag,flag: American Samoa
🇦🇹,flag: Austria,flag,flag: Austria | flag,country flag,Flags,country-flag,flag: Austria
🇦🇺,flag: Australia,flag,flag: Australia | flag,country flag,Flags,country-flag,flag: Australia
🇦🇼,flag: Aruba,flag,flag: Aruba | flag,country flag,Flags,country-flag,flag: Aruba
🇦🇽,flag: Åland Islands,flag,flag: Åland Islands | flag,country flag,Flags,country-flag,flag: Åland Islands
🇦🇿,flag: Azerbaijan,flag,flag: Azerbaijan | flag,country flag,Flags,country-flag,flag: Azerbaijan
🇧🇦,flag: Bosnia & Herzegovina,flag,flag: Bosnia & Herzegovina | flag,country flag,Flags,country-flag,flag: Bosnia & Herzegovina
🇧🇧,flag: Barbados,flag,flag: Barbados | flag,country flag,Flags,country-flag,flag: Barbados
🇧🇩,flag: Bangladesh,flag,flag: Bangladesh | flag,country flag,Flags,country-flag,flag: Bangladesh
🇧🇪,flag: Belgium,flag,flag: Belgium | flag,country flag,Flags,country-flag,flag: Belgium
🇧🇫,flag: Burkina Faso,flag,flag: Burkina Faso | flag,country flag,Flags,country-flag,flag: Burkina Faso
🇧🇬,flag: Bulgaria,flag,flag: Bulgaria | flag,country flag,Flags,country-flag,flag: Bulgaria
🇧🇭,flag: Bahrain,flag,flag: Bahrain | flag,country flag,Flags,country-flag,flag: Bahrain
🇧🇮,flag: Burundi,flag,flag: Burundi | flag,country flag,Flags,country-flag,flag: Burundi
🇧🇯,flag: Benin,flag,flag: Benin | flag,country flag,Flags,country-flag,flag: Benin
🇧🇱,flag: St. Barthélemy,flag,flag: St. Barthélemy | flag,country flag,Flags,country-flag,flag: St. Barthélemy
🇧🇲,flag: Bermuda,flag,flag: Bermuda | flag,country flag,Flags,country-flag,flag: Bermuda
🇧🇳,flag: Brunei,flag,flag: Brunei | flag,country flag,Flags,country-flag,flag: Brunei
🇧🇴,flag: Bolivia,flag,flag: Bolivia | flag,country flag,Flags,country-flag,flag: Bolivia
🇧🇶,flag: Caribbean Netherlands,flag,flag: Caribbean Netherlands | flag,country flag,Flags,country-flag,flag: Caribbean Netherlands
🇧🇷,flag: Brazil,flag,flag: Brazil | flag,country flag,Flags,country-flag,flag: Brazil
🇧🇸,flag: Bahamas,flag,flag: Bahamas | flag,country flag,Flags,country-flag,flag: Bahamas
🇧🇹,flag: Bhutan,flag,flag: Bhutan | flag,country flag,Flags,country-flag,flag: Bhutan
🇧🇻,flag: Bouvet Island,flag,flag: Bouvet Island | flag,country flag,Flags,country-flag,flag: Bouvet Island
🇧🇼,flag: Botswana,flag,flag: Botswana | flag,country flag,Flags,country-flag,flag: Botswana
🇧🇾,flag: Belarus,flag,flag: Belarus | flag,country flag,Flags,country-flag,flag: Belarus
🇧🇿,flag: Belize,flag,flag: Belize | flag,country flag,Flags,country-flag,flag: Belize
🇨🇦,flag: Canada,flag,flag: Canada | flag,country flag,Flags,country-flag,flag: Canada
🇨🇨,flag: Cocos (Keeling) Islands,flag,flag: Cocos (Keeling) Islands | flag,country flag,Flags,country-flag,flag: Cocos (Keeling) Islands
🇨🇩,flag: Congo - Kinshasa,flag,flag: Congo - Kinshasa | flag,country flag,Flags,country-flag,flag: Congo - Kinshasa
🇨🇫,flag: Central African Republic,flag,flag: Central African Republic | flag,country flag,Flags,country-flag,flag: Central African Republic
🇨🇬,flag: Congo - Brazzaville,flag,flag: Congo - Brazzaville | flag,country flag,Flags,country-flag,flag: Congo - Brazzaville
🇨🇭,flag: Switzerland,flag,flag: Switzerland | flag,country flag,Flags,country-flag,flag: Switzerland
🇨🇮,flag: Côte d’Ivoire,flag,flag: Côte d’Ivoire | flag,country flag,Flags,country-flag,flag: Côte d’Ivoire
🇨🇰,flag: Cook Islands,flag,flag: Cook Islands | flag,country flag,Flags,country-flag,flag: Cook Islands
🇨🇱,flag: Chile,flag,flag: Chile | flag,country flag,Flags,country-flag,flag: Chile
🇨🇲,flag: Cameroon,flag,flag: Cameroon | flag,country flag,Flags,country-flag,flag: Cameroon
🇨🇳,flag: China,flag,flag: China | flag,country flag,Flags,country-flag,flag: China
🇨🇴,flag: Colombia,flag,flag: Colombia | flag,country flag,Flags,country-flag,flag: Colombia
🇨🇵,flag: Clipperton Island,flag,flag: Clipperton Island | flag,country flag,Flags,country-flag,flag: Clipperton Island
🇨🇶,flag: Sark,flag,flag: Sark | flag,country flag,Flags,country-flag,flag: Sark
🇨🇷,flag: Costa Rica,flag,flag: Costa Rica | flag,country flag,Flags,country-flag,flag: Costa Rica
🇨🇺,flag: Cuba,flag,flag: Cuba | flag,country flag,Flags,country-flag,flag: Cuba
🇨🇻,flag: Cape Verde,flag,flag: Cape Verde | flag,country flag,Flags,country-flag,flag: Cape Verde
🇨🇼,flag: Curaçao,flag,flag: Curaçao | flag,country flag,Flags,country-flag,flag: Curaçao
🇨🇽,flag: Christmas Island,flag,flag: Christmas Island | flag,country flag,Flags,country-flag,flag: Christmas Island
🇨🇾,flag: Cyprus,flag,flag: Cyprus | flag,country flag,Flags,country-flag,flag: Cyprus
🇨🇿,flag: Czechia,flag,flag: Czechia | flag,country flag,Flags,country-flag,flag: Czechia
🇩🇪,flag: Germany,flag,flag: Germany | flag,country flag,Flags,country-flag,flag: Germany
🇩🇬,flag: Diego Garcia,flag,flag: Diego Garcia | flag,country flag,Flags,country-flag,flag: Diego Garcia
🇩🇯,flag: Djibouti,flag,flag: Djibouti | flag,country flag,Flags,country-flag,flag: Djibouti
🇩🇰,flag: Denmark,flag,flag: Denmark | flag,country flag,Flags,country-flag,flag: Denmark
🇩🇲,flag: Dominica,flag,flag: Dominica | flag,country flag,Flags,country-flag,flag: Dominica
🇩🇴,flag: Dominican Republic,flag,flag: Dominican Republic | flag,country flag,Flags,country-flag,flag: Dominican Republic
🇩🇿,flag: Algeria,flag,flag: Algeria | flag,country flag,Flags,country-flag,flag: Algeria
